#: table_doi: 10.17182/hepdata.90640.v1/t23
#: name: Statistical covariance matrix
#: description: Figure 8, statistical covariance matrix for normalized differential cross sections (note, the figure in the paper is for the corresponding correlation matrix)
#: data_file: statcov_normdiffxsec_AllVars.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],13000
Bin,Bin,Statistical covariance for all normalized differential cross section bins
$\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,6.310998515e-07
$\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,3.356739175e-06
$\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,3.019035491e-07
$\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,-1.726942297e-06
$\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,-1.704680295e-06
$\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,-8.581199834e-07
$\cos\theta_{1}^{n}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,1.925305355e-06
$\cos\theta_{1}^{n}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,4.211618728e-06
$\cos\theta_{1}^{n}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,-6.406922978e-06
$\cos\theta_{1}^{n}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,-5.803363516e-06
$\cos\theta_{1}^{n}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,3.415058023e-06
$\cos\theta_{1}^{n}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,2.658304389e-06
$\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,-3.258979515e-07
$\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,-1.290666522e-06
$\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,9.792340336e-07
$\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,1.648644584e-06
$\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,5.273024334e-07
$\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,-1.538616578e-06
$\cos\theta_{1}^{k*}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,-1.445659961e-05
$\cos\theta_{1}^{k*}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,2.768835004e-05
$\cos\theta_{1}^{k*}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,-1.190868975e-05
$\cos\theta_{1}^{k*}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,-1.352044471e-05
$\cos\theta_{1}^{k*}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,2.541171288e-05
$\cos\theta_{1}^{k*}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,-1.321432885e-05
$\cos\theta_{2}^{k*}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,9.057797538e-07
$\cos\theta_{2}^{k*}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,-4.156539598e-07
$\cos\theta_{2}^{k*}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,-6.755752018e-07
$\cos\theta_{2}^{k*}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,-1.317320017e-06
$\cos\theta_{2}^{k*}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,-3.728421161e-07
$\cos\theta_{2}^{k*}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,1.875611541e-06
$\cos\theta_{1}^{r*}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,1.299274463e-06
$\cos\theta_{1}^{r*}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,3.946028963e-06
$\cos\theta_{1}^{r*}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,-5.389127142e-06
$\cos\theta_{1}^{r*}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,-7.173225414e-06
$\cos\theta_{1}^{r*}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,3.998594878e-06
$\cos\theta_{1}^{r*}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,3.318454252e-06
$\cos\theta_{2}^{r*}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,-1.2934338e-06
$\cos\theta_{2}^{r*}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,9.349053609e-07
$\cos\theta_{2}^{r*}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,-3.754792525e-07
$\cos\theta_{2}^{r*}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,3.834560233e-08
$\cos\theta_{2}^{r*}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,-5.091436185e-08
$\cos\theta_{2}^{r*}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,7.465764514e-07
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,-8.052169007e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,6.567911446e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{1}^{k}$ bin 2,7.623810473e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{1}^{k}$ bin 2,-7.290145292e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{1}^{k}$ bin 2,4.283122368e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{1}^{k}$ bin 2,-3.132529988e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{1}^{k}$ bin 2,-2.467932551e-07
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{1}^{k}$ bin 2,3.198243207e-06
